,日期,最高温度,最低温度,天气,风向,风力,aqi,aqiinfo,aqilevel,city
2018-01-06,2018-01-06,-10℃,-21℃,多云,西北风,1-2级,32,优,1,黑河
2018-01-07,2018-01-07,-9℃,-22℃,多云~阵雪,西南风,1-2级,73,良,2,黑河
2018-01-08,2018-01-08,-13℃,-25℃,多云,西北风,1-2级,39,优,1,黑河
2018-01-09,2018-01-09,-17℃,-26℃,晴,西北风,1-2级,25,优,1,黑河
2018-01-10,2018-01-10,-18℃,-28℃,晴,西北风,1-2级,33,优,1,黑河
2018-01-11,2018-01-11,-19℃,-28℃,晴,西北风,1-2级,35,优,1,黑河
2018-01-12,2018-01-12,-20℃,-30℃,晴,西北风,1-2级,65,良,2,黑河
2018-01-13,2018-01-13,-17℃,-21℃,多云,西南风,1-2级,63,良,2,黑河
2018-01-14,2018-01-14,-14℃,-25℃,小雪~多云,西北风,3-4级,78,良,2,黑河
2018-01-15,2018-01-15,-15℃,-26℃,多云,西北风,1-2级,44,优,1,黑河
2018-01-16,2018-01-16,-15℃,-28℃,晴~多云,西南风,1-2级,91,良,2,黑河
2018-01-17,2018-01-17,-14℃,-26℃,阵雪,西南风,1-2级,65,良,2,黑河
2018-01-18,2018-01-18,-16℃,-26℃,多云,西风,1-2级,97,良,2,黑河
2018-01-19,2018-01-19,-16℃,-22℃,小雪,南风,1-2级,82,良,2,黑河
2018-01-20,2018-01-20,-17℃,-29℃,小雪~多云,西北风,3-4级,68,良,2,黑河
2018-01-21,2018-01-21,-21℃,-32℃,晴,西北风,3-4级,29,优,1,黑河
2018-01-22,2018-01-22,-23℃,-34℃,晴~多云,西北风,1-2级,32,优,1,黑河
2018-01-23,2018-01-23,-26℃,-37℃,多云,西北风,1-2级,33,优,1,黑河
2018-01-24,2018-01-24,-25℃,-36℃,晴,西北风,1-2级,29,优,1,黑河
2018-01-25,2018-01-25,-23℃,-26℃,多云,西北风,3-4级,27,优,1,黑河
2018-01-26,2018-01-26,-17℃,-31℃,晴,西北风,1-2级,29,优,1,黑河
2018-01-27,2018-01-27,-18℃,-29℃,晴,西北风,1-2级,27,优,1,黑河
2018-01-28,2018-01-28,-19℃,-30℃,多云,西北风,1-2级,30,优,1,黑河
2018-01-29,2018-01-29,-17℃,-27℃,多云,西北风,3-4级,28,优,1,黑河
2018-01-30,2018-01-30,-17℃,-27℃,多云,西北风,1-2级,30,优,1,黑河
2018-01-31,2018-01-31,-14℃,-27℃,晴~多云,西北风,1-2级,37,优,1,黑河
2018-01-04,2018-01-04,-16,-26,,,,,,,
2018-01-23,2018-01-23,,,,,,,,,
2018-01-01,2018-01-01,-11℃,-20℃,阴,西风,1-2级,134,轻度污染,3,齐齐哈尔
2018-01-02,2018-01-02,-11℃,-21℃,多云,西北风,3-4级,39,优,1,齐齐哈尔
2018-01-03,2018-01-03,-9℃,-16℃,多云,西风,1-2级,41,优,1,齐齐哈尔
2018-01-04,2018-01-04,-7℃,-20℃,多云,西南风,1-2级,71,良,2,齐齐哈尔
2018-01-05,2018-01-05,-8℃,-17℃,多云,西风,1-2级,59,良,2,齐齐哈尔
2018-01-06,2018-01-06,-8℃,-17℃,晴,西北风,1-2级,53,良,2,齐齐哈尔
2018-01-07,2018-01-07,-8℃,-19℃,晴,东北风,1-2级,72,良,2,齐齐哈尔
2018-01-08,2018-01-08,-8℃,-21℃,小雪~多云,东北风,1-2级,55,良,2,齐齐哈尔
2018-01-09,2018-01-09,-13℃,-19℃,多云,西风,1-2级,34,优,1,齐齐哈尔
2018-01-10,2018-01-10,-17℃,-24℃,多云,北风,4-5级,36,优,1,齐齐哈尔
2018-01-11,2018-01-11,-16℃,-27℃,晴~多云,西北风,1-2级,38,优,1,齐齐哈尔
2018-01-12,2018-01-12,-14℃,-26℃,晴~多云,西北风,1-2级,89,良,2,齐齐哈尔
2018-01-13,2018-01-13,-13℃,-24℃,晴,东南风,1-2级,154,中度污染,4,齐齐哈尔
2018-01-14,2018-01-14,-11℃,-23℃,小雪~多云,东南风,1-2级,178,中度污染,4,齐齐哈尔
2018-01-15,2018-01-15,-14℃,-22℃,多云~小雪,东北风,1-2级,94,良,2,齐齐哈尔
2018-01-16,2018-01-16,-13℃,-22℃,多云,东风,3-4级,148,轻度污染,3,齐齐哈尔
2018-01-17,2018-01-17,-12℃,-22℃,小雪~多云,东南风,1-2级,146,轻度污染,3,齐齐哈尔
2018-01-18,2018-01-18,-13℃,-23℃,多云~晴,西北风,1-2级,87,良,2,齐齐哈尔
2018-01-19,2018-01-19,-14℃,-24℃,多云~晴,西风,1-2级,93,良,2,齐齐哈尔
2018-01-20,2018-01-20,-18℃,-24℃,晴,西北风,3-4级,39,优,1,齐齐哈尔
2018-01-21,2018-01-21,-18℃,-28℃,晴,西北风,3-4级,38,优,1,齐齐哈尔
2018-01-22,2018-01-22,-20℃,-32℃,晴~多云,西北风,3-4级,35,优,1,齐齐哈尔
2018-01-23,2018-01-23,-22℃,-32℃,晴~多云,西风,3-4级,39,优,1,齐齐哈尔
2018-01-24,2018-01-24,-23℃,-31℃,晴,西北风,3-4级,40,优,1,齐齐哈尔
2018-01-25,2018-01-25,-22℃,-35℃,多云~晴,西北风,3-4级,47,优,1,齐齐哈尔
2018-01-26,2018-01-26,-18℃,-29℃,晴,西北风,3-4级,43,优,1,齐齐哈尔
2018-01-27,2018-01-27,-15℃,-28℃,晴,西北风,3-4级,33,优,1,齐齐哈尔
2018-01-28,2018-01-28,-17℃,-29℃,晴~多云,西风,3-4级,41,优,1,齐齐哈尔
2018-01-29,2018-01-29,-13℃,-29℃,晴,西风,3-4级,43,优,1,齐齐哈尔
2018-01-30,2018-01-30,-15℃,-26℃,多云,西风,3-4级,48,优,1,齐齐哈尔
2018-01-31,2018-01-31,-11℃,-24℃,晴,西北风,3-4级,57,良,2,齐齐哈尔
2018-01-04,2018-01-04,-14,-24,,,,,,,
2018-01-25,2018-01-25,,,,,,,,,
2018-01-01,2018-01-01,-12℃,-19℃,小雪,西风,3-4级,58,良,2,伊春
2018-01-02,2018-01-02,-11℃,-22℃,多云,西风,1-2级,55,良,2,伊春
2018-01-03,2018-01-03,-12℃,-24℃,晴,西风,1-2级,87,良,2,伊春
2018-01-04,2018-01-04,-10℃,-25℃,晴,西北风,4-5级,58,良,2,伊春
2018-01-05,2018-01-05,-12℃,-23℃,多云~晴,西风,3-4级,78,良,2,伊春
2018-01-06,2018-01-06,-13℃,-23℃,晴,西北风,4-5级,57,良,2,伊春
2018-01-07,2018-01-07,-9℃,-17℃,晴~多云,西风,3-4级,52,良,2,伊春
2018-01-08,2018-01-08,-11℃,-21℃,小雪~阵雪,西风,3-4级,58,良,2,伊春
2018-01-09,2018-01-09,-17℃,-30℃,多云,北风,4-5级,25,优,1,伊春
2018-01-10,2018-01-10,-20℃,-32℃,多云,北风,3-4级,26,优,1,伊春
2018-01-11,2018-01-11,-20℃,-35℃,晴,北风,3-4级,29,优,1,伊春
2018-01-12,2018-01-12,-16℃,-33℃,晴,西南风,3-4级,49,优,1,伊春
2018-01-13,2018-01-13,-14℃,-27℃,晴~多云,西南风,3-4级,63,良,2,伊春
2018-01-14,2018-01-14,-9℃,-22℃,小雪,南风,3-4级,54,良,2,伊春
2018-01-15,2018-01-15,-12℃,-30℃,多云,西北风,3-4级,57,良,2,伊春
2018-01-16,2018-01-16,-12℃,-27℃,多云,东风,3-4级,56,良,2,伊春
2018-01-17,2018-01-17,-11℃,-22℃,小雪,南风,3-4级,59,良,2,伊春
2018-01-18,2018-01-18,-14℃,-28℃,多云~晴,西南风,3-4级,80,良,2,伊春
2018-01-19,2018-01-19,-13℃,-27℃,阴~多云,西风,4-5级,67,良,2,伊春
2018-01-20,2018-01-20,-20℃,-32℃,多云,西风,4-5级,58,良,2,伊春
2018-01-21,2018-01-21,-20℃,-34℃,多云,西风,4-5级,31,优,1,伊春
2018-01-22,2018-01-22,-22℃,-36℃,晴,西风,3-4级,46,优,1,伊春
2018-01-23,2018-01-23,-22℃,-37℃,多云,西风,3-4级,47,优,1,伊春
2018-01-24,2018-01-24,-25℃,-38℃,晴~多云,西北风,3-4级,39,优,1,伊春
2018-01-25,2018-01-25,-23℃,-32℃,阵雪~晴,西北风,4-5级,30,优,1,伊春
2018-01-26,2018-01-26,-17℃,-33℃,晴,西北风,4-5级,26,优,1,伊春
2018-01-27,2018-01-27,-21℃,-33℃,晴~多云,西北风,4-5级,33,优,1,伊春
2018-01-28,2018-01-28,-20℃,-33℃,多云,西风,4-5级,36,优,1,伊春
2018-01-29,2018-01-29,-19℃,-32℃,多云~晴,西风,3-4级,50,优,1,伊春
2018-01-30,2018-01-30,-15℃,-32℃,多云,西风,3-4级,54,良,2,伊春
2018-01-31,2018-01-31,-15℃,-31℃,晴~多云,西风,3-4级,53,良,2,伊春
2018-01-14,2018-01-14,-16,-29,,,,,,,
2018-01-24,2018-01-24,,,,,,,,,
2018-01-01,2018-01-01,-8℃,-17℃,小雪~阵雪,西北风,3-4级,48,优,1,鹤岗
2018-01-02,2018-01-02,-9℃,-24℃,多云,西风,3-4级,52,良,2,鹤岗
2018-01-03,2018-01-03,-11℃,-24℃,晴,西北风,3-4级,52,良,2,鹤岗
2018-01-04,2018-01-04,-8℃,-22℃,晴,西风,3-4级,42,优,1,鹤岗
2018-01-05,2018-01-05,-10℃,-22℃,多云,西风,3-4级,64,良,2,鹤岗
2018-01-06,2018-01-06,-9℃,-21℃,晴,西风,3-4级,49,优,1,鹤岗
2018-01-07,2018-01-07,-8℃,-17℃,晴~多云,西南风,3-4级,55,良,2,鹤岗
2018-01-08,2018-01-08,-9℃,-21℃,小雪,东北风,1-2级,50,优,1,鹤岗
2018-01-09,2018-01-09,-14℃,-25℃,多云,西北风,4-5级,29,优,1,鹤岗
2018-01-10,2018-01-10,-18℃,-28℃,多云,西北风,3-4级,31,优,1,鹤岗
2018-01-11,2018-01-11,-18℃,-30℃,晴,西北风,3-4级,29,优,1,鹤岗
2018-01-12,2018-01-12,-15℃,-28℃,晴,西南风,1-2级,55,良,2,鹤岗
2018-01-13,2018-01-13,-15℃,-26℃,晴~多云,西南风,1-2级,78,良,2,鹤岗
2018-01-14,2018-01-14,-13℃,-20℃,小雪,东南风,1-2级,84,良,2,鹤岗
2018-01-15,2018-01-15,-14℃,-29℃,多云,西北风,3-4级,54,良,2,鹤岗
2018-01-16,2018-01-16,-15℃,-27℃,多云~晴,东北风,1-2级,94,良,2,鹤岗
2018-01-17,2018-01-17,-14℃,-22℃,阵雪,北风,1-2级,94,良,2,鹤岗
2018-01-18,2018-01-18,-11℃,-26℃,多云,西北风,1-2级,102,轻度污染,3,鹤岗
2018-01-19,2018-01-19,-13℃,-27℃,多云,东南风,3-4级,113,轻度污染,3,鹤岗
2018-01-20,2018-01-20,-18℃,-29℃,晴,西风,3-4级,98,良,2,鹤岗
2018-01-21,2018-01-21,-18℃,-33℃,晴,西风,4-5级,36,优,1,鹤岗
2018-01-22,2018-01-22,-20℃,-36℃,晴,西风,3-4级,61,良,2,鹤岗
2018-01-23,2018-01-23,-23℃,-32℃,晴,西北风,3-4级,52,良,2,鹤岗
2018-01-24,2018-01-24,-24℃,-33℃,多云,西北风,4-5级,37,优,1,鹤岗
2018-01-25,2018-01-25,-23℃,-28℃,阵雪~多云,西北风,4-5级,34,优,1,鹤岗
2018-01-26,2018-01-26,-16℃,-29℃,多云~晴,西北风,4-5级,29,优,1,鹤岗
2018-01-27,2018-01-27,-17℃,-29℃,晴,西风,4-5级,35,优,1,鹤岗
2018-01-28,2018-01-28,-18℃,-28℃,多云~晴,西风,4-5级,43,优,1,鹤岗
2018-01-29,2018-01-29,-14℃,-29℃,晴,西南风,1-2级,39,优,1,鹤岗
2018-01-30,2018-01-30,-15℃,-28℃,晴,西南风,1-2级,69,良,2,鹤岗
2018-01-31,2018-01-31,-14℃,-28℃,晴~多云,西风,3-4级,51,良,2,鹤岗
2018-01-07,2018-01-07,-15,-26,,,,,,,
2018-01-22,2018-01-22,,,,,,,,,
2018-01-01,2018-01-01,-10℃,-17℃,多云,西风,1-2级,132,轻度污染,3,大庆
2018-01-02,2018-01-02,-11℃,-17℃,多云,西风,1-2级,61,良,2,大庆
2018-01-03,2018-01-03,-10℃,-18℃,多云~晴,西风,1-2级,35,优,1,大庆
2018-01-04,2018-01-04,-10℃,-17℃,多云,西风,1-2级,54,良,2,大庆
2018-01-05,2018-01-05,-8℃,-17℃,多云,西风,1-2级,45,优,1,大庆
2018-01-06,2018-01-06,-7℃,-16℃,多云,西风,1-2级,44,优,1,大庆
2018-01-07,2018-01-07,-5℃,-15℃,多云~阴,西南风,1-2级,58,良,2,大庆
2018-01-08,2018-01-08,-9℃,-17℃,阵雪,南风,4-5级,100,良,2,大庆
2018-01-09,2018-01-09,-14℃,-21℃,多云~晴,西北风,3-4级,29,优,1,大庆
2018-01-10,2018-01-10,-17℃,-24℃,多云~晴,北风,3-4级,28,优,1,大庆
2018-01-11,2018-01-11,-17℃,-24℃,晴,西风,3-4级,36,优,1,大庆
2018-01-12,2018-01-12,-14℃,-22℃,多云~晴,西风,3-4级,80,良,2,大庆
2018-01-13,2018-01-13,-8℃,-22℃,晴~多云,南风,3-4级,202,重度污染,5,大庆
2018-01-14,2018-01-14,-5℃,-18℃,阵雪~多云,西南风,1-2级,153,中度污染,4,大庆
2018-01-15,2018-01-15,-13℃,-19℃,晴~多云,西风,3-4级,120,轻度污染,3,大庆
2018-01-16,2018-01-16,-9℃,-19℃,多云,西北风,1-2级,153,中度污染,4,大庆
2018-01-17,2018-01-17,-7℃,-20℃,阵雪~多云,东南风,1-2级,188,中度污染,4,大庆
2018-01-18,2018-01-18,-10℃,-20℃,多云,西风,1-2级,106,轻度污染,3,大庆
2018-01-19,2018-01-19,-10℃,-22℃,多云,西风,3-4级,78,良,2,大庆
2018-01-20,2018-01-20,-15℃,-24℃,多云,西北风,3-4级,36,优,1,大庆
2018-01-21,2018-01-21,-17℃,-26℃,晴,西北风,3-4级,36,优,1,大庆
2018-01-22,2018-01-22,-19℃,-28℃,晴,西北风,3-4级,35,优,1,大庆
2018-01-23,2018-01-23,-22℃,-29℃,多云,西北风,3-4级,33,优,1,大庆
2018-01-24,2018-01-24,-23℃,-30℃,晴,西北风,3-4级,38,优,1,大庆
2018-01-25,2018-01-25,-23℃,-28℃,晴,西北风,3-4级,36,优,1,大庆
2018-01-26,2018-01-26,-18℃,-27℃,晴,西北风,1-2级,37,优,1,大庆
2018-01-27,2018-01-27,-16℃,-26℃,多云,西北风,3-4级,42,优,1,大庆
2018-01-28,2018-01-28,-17℃,-23℃,多云,西北风,3-4级,33,优,1,大庆
2018-01-29,2018-01-29,-15℃,-24℃,晴,西风,3-4级,41,优,1,大庆
2018-01-30,2018-01-30,-13℃,-22℃,晴,西风,3-4级,36,优,1,大庆
2018-01-31,2018-01-31,-11℃,-20℃,晴,西南风,1-2级,50,优,1,大庆
2018-01-14,2018-01-14,-13,-22,,,,,,,
2018-01-24,2018-01-24,,,,,,,,,
2018-01-01,2018-01-01,-14℃,-23℃,阵雪,西南风,3-4级,86,良,2,绥化
2018-01-02,2018-01-02,-11℃,-19℃,多云,西风,3-4级,122,轻度污染,3,绥化
2018-01-03,2018-01-03,-12℃,-18℃,晴,西北风,3-4级,47,优,1,绥化
2018-01-04,2018-01-04,-11℃,-20℃,晴,西北风,3-4级,50,优,1,绥化
2018-01-05,2018-01-05,-11℃,-23℃,多云,西北风,3-4级,57,良,2,绥化
2018-01-06,2018-01-06,-12℃,-20℃,晴~多云,东风,3-4级,48,优,1,绥化
2018-01-07,2018-01-07,-9℃,-17℃,多云~小雪,南风,3-4级,59,良,2,绥化
2018-01-08,2018-01-08,-10℃,-19℃,小雪~阵雪,西北风,3-4级,76,良,2,绥化
2018-01-09,2018-01-09,-11℃,-25℃,多云,西北风,3-4级,22,优,1,绥化
2018-01-10,2018-01-10,-18℃,-30℃,多云~晴,西北风,3-4级,21,优,1,绥化
2018-01-11,2018-01-11,-20℃,-30℃,多云~晴,西北风,3-4级,28,优,1,绥化
2018-01-12,2018-01-12,-17℃,-25℃,晴,东北风,3-4级,58,良,2,绥化
2018-01-13,2018-01-13,-15℃,-20℃,晴~多云,西南风,3-4级,82,良,2,绥化
2018-01-14,2018-01-14,-7℃,-21℃,阵雪,西南风,3-4级,51,良,2,绥化
2018-01-15,2018-01-15,-13℃,-22℃,多云,西风,3-4级,71,良,2,绥化
2018-01-16,2018-01-16,-12℃,-21℃,阵雪~多云,西北风,3-4级,87,良,2,绥化
2018-01-17,2018-01-17,-13℃,-21℃,阵雪~多云,东南风,3-4级,69,良,2,绥化
2018-01-18,2018-01-18,-13℃,-19℃,多云,东南风,3-4级,90,良,2,绥化
2018-01-19,2018-01-19,-9℃,-23℃,多云~晴,西风,3-4级,74,良,2,绥化
2018-01-20,2018-01-20,-17℃,-27℃,多云,西北风,3-4级,33,优,1,绥化
2018-01-21,2018-01-21,-19℃,-33℃,多云,西北风,3-4级,30,优,1,绥化
2018-01-22,2018-01-22,-22℃,-32℃,多云~晴,西风,3-4级,48,优,1,绥化
2018-01-23,2018-01-23,-23℃,-35℃,晴~多云,西北风,3-4级,184,中度污染,4,绥化
2018-01-24,2018-01-24,-25℃,-32℃,晴,西北风,3-4级,79,良,2,绥化
2018-01-25,2018-01-25,-25℃,-29℃,晴,西北风,3-4级,31,优,1,绥化
2018-01-26,2018-01-26,-18℃,-28℃,晴,西北风,3-4级,23,优,1,绥化
2018-01-27,2018-01-27,-18℃,-30℃,多云~晴,西风,3-4级,29,优,1,绥化
2018-01-28,2018-01-28,-19℃,-29℃,多云,东风,3-4级,31,优,1,绥化
2018-01-29,2018-01-29,-18℃,-26℃,晴,西南风,3-4级,43,优,1,绥化
2018-01-30,2018-01-30,-17℃,-27℃,多云~晴,西北风,3-4级,63,良,2,绥化
2018-01-31,2018-01-31,-16℃,-24℃,多云~晴,西北风,3-4级,55,良,2,绥化
2018-01-14,2018-01-14,-15,-25,,,,,,,
2018-01-23,2018-01-23,,,,,,,,,
2018-01-01,2018-01-01,-10℃,-15℃,小雪~阵雪,西风,3-4级,77,良,2,佳木斯
2018-01-02,2018-01-02,-10℃,-21℃,多云,西北风,4-5级,76,良,2,佳木斯
2018-01-03,2018-01-03,-11℃,-24℃,晴,西风,3-4级,54,良,2,佳木斯
2018-01-04,2018-01-04,-9℃,-19℃,晴,西风,3-4级,37,优,1,佳木斯
2018-01-05,2018-01-05,-10℃,-18℃,阵雪~多云,西风,3-4级,56,良,2,佳木斯
2018-01-06,2018-01-06,-9℃,-19℃,晴,西北风,3-4级,51,良,2,佳木斯
2018-01-07,2018-01-07,-7℃,-13℃,多云~小雪,西南风,3-4级,61,良,2,佳木斯
2018-01-08,2018-01-08,-8℃,-15℃,小到中雪~中雪,东风,3-4级,80,良,2,佳木斯
2018-01-09,2018-01-09,-12℃,-23℃,多云,西北风,4-5级,27,优,1,佳木斯
2018-01-10,2018-01-10,-17℃,-29℃,多云,西北风,4-5级,23,优,1,佳木斯
2018-01-11,2018-01-11,-19℃,-29℃,多云~晴,西南风,3-4级,29,优,1,佳木斯
2018-01-12,2018-01-12,-17℃,-26℃,晴,西风,3-4级,44,优,1,佳木斯
2018-01-13,2018-01-13,-13℃,-24℃,晴,西南风,3-4级,79,良,2,佳木斯
2018-01-14,2018-01-14,-9℃,-19℃,小雪~小到中雪,东北风,3-4级,110,轻度污染,3,佳木斯
2018-01-15,2018-01-15,-12℃,-25℃,多云~晴,西风,3-4级,86,良,2,佳木斯
2018-01-16,2018-01-16,-14℃,-25℃,多云,西风,3-4级,120,轻度污染,3,佳木斯
2018-01-17,2018-01-17,-14℃,-22℃,阵雪,东风,3-4级,157,中度污染,4,佳木斯
2018-01-18,2018-01-18,-10℃,-26℃,多云,西南风,3-4级,120,轻度污染,3,佳木斯
2018-01-19,2018-01-19,-11℃,-23℃,晴~多云,东南风,4-5级,127,轻度污染,3,佳木斯
2018-01-20,2018-01-20,-17℃,-27℃,多云,西北风,4-5级,105,轻度污染,3,佳木斯
2018-01-21,2018-01-21,-17℃,-32℃,晴,西风,3-4级,34,优,1,佳木斯
2018-01-22,2018-01-22,-19℃,-34℃,晴,西北风,3-4级,65,良,2,佳木斯
2018-01-23,2018-01-23,-21℃,-33℃,晴~多云,西风,3-4级,55,良,2,佳木斯
2018-01-24,2018-01-24,-21℃,-31℃,多云~晴,西风,3-4级,53,良,2,佳木斯
2018-01-25,2018-01-25,-22℃,-29℃,多云,西北风,4-5级,34,优,1,佳木斯
2018-01-26,2018-01-26,-16℃,-25℃,多云~晴,西北风,5-6级,31,优,1,佳木斯
2018-01-27,2018-01-27,-18℃,-27℃,晴,西风,4-5级,39,优,1,佳木斯
2018-01-28,2018-01-28,-18℃,-29℃,多云,西风,4-5级,45,优,1,佳木斯
2018-01-29,2018-01-29,-16℃,-29℃,多云,西南风,3-4级,42,优,1,佳木斯
2018-01-30,2018-01-30,-15℃,-26℃,晴,西南风,3-4级,92,良,2,佳木斯
2018-01-31,2018-01-31,-13℃,-29℃,晴,西风,3-4级,72,良,2,佳木斯
2018-01-07,2018-01-07,-14,-25,,,,,,,
2018-01-22,2018-01-22,,,,,,,,,
2018-01-01,2018-01-01,-10℃,-14℃,小雪,东北风,1-2级,92,良,2,双鸭山
2018-01-02,2018-01-02,-10℃,-17℃,阵雪~多云,西风,3-4级,112,轻度污染,3,双鸭山
2018-01-03,2018-01-03,-10℃,-18℃,晴,西风,3-4级,66,良,2,双鸭山
2018-01-04,2018-01-04,-10℃,-16℃,晴,西风,1-2级,54,良,2,双鸭山
2018-01-05,2018-01-05,-9℃,-16℃,多云~阵雪,西风,1-2级,58,良,2,双鸭山
2018-01-06,2018-01-06,-8℃,-14℃,晴,西南风,3-4级,61,良,2,双鸭山
2018-01-07,2018-01-07,-6℃,-12℃,多云~小雪,西风,3-4级,63,良,2,双鸭山
2018-01-08,2018-01-08,-8℃,-14℃,小雪~小到中雪,东北风,3-4级,80,良,2,双鸭山
2018-01-09,2018-01-09,-12℃,-21℃,小雪,北风,4-5级,32,优,1,双鸭山
2018-01-10,2018-01-10,-17℃,-22℃,晴,西北风,3-4级,29,优,1,双鸭山
2018-01-11,2018-01-11,-18℃,-25℃,多云~晴,西北风,1-2级,33,优,1,双鸭山
2018-01-12,2018-01-12,-17℃,-23℃,晴,西风,3-4级,62,良,2,双鸭山
2018-01-13,2018-01-13,-13℃,-20℃,晴,西风,1-2级,61,良,2,双鸭山
2018-01-14,2018-01-14,-7℃,-14℃,小雪,南风,1-2级,111,轻度污染,3,双鸭山
2018-01-15,2018-01-15,-11℃,-19℃,阵雪~多云,西风,3-4级,87,良,2,双鸭山
2018-01-16,2018-01-16,-11℃,-20℃,晴,南风,3-4级,108,轻度污染,3,双鸭山
2018-01-17,2018-01-17,-9℃,-16℃,阵雪,西南风,1-2级,155,中度污染,4,双鸭山
2018-01-18,2018-01-18,-10℃,-19℃,多云~晴,西风,1-2级,117,轻度污染,3,双鸭山
2018-01-19,2018-01-19,-6℃,-20℃,多云~晴,西南风,3-4级,102,轻度污染,3,双鸭山
2018-01-20,2018-01-20,-17℃,-24℃,多云,西风,1-2级,72,良,2,双鸭山
2018-01-21,2018-01-21,-18℃,-27℃,多云~晴,西风,3-4级,38,优,1,双鸭山
2018-01-22,2018-01-22,-19℃,-29℃,晴,西风,3-4级,50,优,1,双鸭山
2018-01-23,2018-01-23,-21℃,-29℃,晴,西风,1-2级,58,良,2,双鸭山
2018-01-24,2018-01-24,-23℃,-28℃,多云~阵雪,西北风,4-5级,44,优,1,双鸭山
2018-01-25,2018-01-25,-21℃,-25℃,阵雪~多云,西北风,4-5级,35,优,1,双鸭山
2018-01-26,2018-01-26,-16℃,-23℃,晴,西风,4-5级,40,优,1,双鸭山
2018-01-27,2018-01-27,-16℃,-24℃,晴~多云,西风,3-4级,49,优,1,双鸭山
2018-01-28,2018-01-28,-17℃,-24℃,多云~晴,西风,3-4级,48,优,1,双鸭山
